instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
e30900,e,vmc,swap_best,537376.0000,536562.0000,0.1515,0.0147,23
e30900,e,vmc,relocate_multiple,537376.0000,537376.0000,0.0000,0.0005,0
e30900,e,vmc,swap_multiple,537376.0000,536616.0000,0.1414,0.0070,27
e30900,e,insercion,relocate_first,902207.0000,902207.0000,0.0000,0.0001,0
e30900,e,insercion,relocate_best,902207.0000,902207.0000,0.0000,0.0000,0
e30900,e,insercion,swap_first,902207.0000,898746.0000,0.3836,0.0056,38
e30900,e,insercion,swap_best,902207.0000,898517.0000,0.4090,0.0093,19
e30900,e,insercion,relocate_multiple,902207.0000,902207.0000,0.0000,0.0004,0
e30900,e,insercion,swap_multiple,902207.0000,898661.0000,0.3930,0.0041,32
e60900,e,vmc,relocate_first,478813.0000,478813.0000,0.0000,0.0001,0
e60900,e,vmc,relocate_best,478813.0000,478813.0000,0.0000,0.0000,0
e60900,e,vmc,swap_first,478813.0000,476714.0000,0.4384,0.0097,51
e60900,e,vmc,swap_best,478813.0000,476497.0000,0.4837,0.0173,32
e60900,e,vmc,relocate_multiple,478813.0000,478813.0000,0.0000,0.0009,0
e60900,e,vmc,swap_multiple,478813.0000,476640.0000,0.4538,0.0071,45
e60900,e,insercion,relocate_first,1023132.0000,1023132.0000,0.0000,0.0001,0
e60900,e,insercion,relocate_best,1023132.0000,1023132.0000,0.0000,0.0000,0
e60900,e,insercion,swap_first,1023132.0000,1019995.0000,0.3066,0.0058,45
e60900,e,insercion,swap_best,1023132.0000,1019777.0000,0.3279,0.0162,36
e60900,e,insercion,relocate_multiple,1023132.0000,1023132.0000,0.0000,0.0009,0
e60900,e,insercion,swap_multiple,1023132.0000,1020115.0000,0.2949,0.0066,47
e201600,e,vmc,relocate_first,1068989.0000,1068989.0000,0.0000,0.0000,0
e201600,e,vmc,relocate_best,1068989.0000,1068989.0000,0.0000,0.0000,0
e201600,e,vmc,swap_first,1068989.0000,1066083.0000,0.2718,0.0385,89
e201600,e,vmc,swap_best,1068989.0000,1065912.0000,0.2878,0.0615,42
e201600,e,vmc,relocate_multiple,1068989.0000,1068989.0000,0.0000,0.0007,0
e201600,e,vmc,swap_multiple,1068989.0000,1065936.0000,0.2856,0.0277,62
e201600,e,insercion,relocate_first,1567647.0000,1567647.0000,0.0000,0.0000,0
e201600,e,insercion,relocate_best,1567647.0000,1567647.0000,0.0000,0.0000,0
e201600,e,insercion,swap_first,1567647.0000,1565666.0000,0.1264,0.0162,32
e201600,e,insercion,swap_best,1567647.0000,1565571.0000,0.1324,0.0388,22
e201600,e,insercion,relocate_multiple,1567647.0000,1567647.0000,0.0000,0.0007,0
e201600,e,insercion,swap_multiple,1567647.0000,1565639.0000,0.1281,0.0142,28
e401600,e,vmc,relocate_first,1012219.0000,1012219.0000,0.0000,0.0001,0
e401600,e,vmc,relocate_best,1012219.0000,1012219.0000,0.0000,0.0001,0
e401600,e,vmc,swap_first,1012219.0000,1010584.0000,0.1615,0.0396,62
e401600,e,vmc,swap_best,1012219.0000,1010407.0000,0.1790,0.0424,26
e401600,e,vmc,relocate_multiple,1012219.0000,1012219.0000,0.0000,0.0009,0
e401600,e,vmc,swap_multiple,1012219.0000,1010482.0000,0.1716,0.0195,47
e401600,e,insercion,relocate_first,1600339.0000,1600339.0000,0.0000,0.0001,0
e401600,e,insercion,relocate_best,1600339.0000,1600339.0000,0.0000,0.0001,0
e401600,e,insercion,swap_first,1600339.0000,1598158.0000,0.1363,0.0143,37
e401600,e,insercion,swap_best,1600339.0000,1597991.0000,0.1467,0.0380,23
e401600,e,insercion,relocate_multiple,1600339.0000,1600339.0000,0.0000,0.0008,0
e401600,e,insercion,swap_multiple,1600339.0000,1598346.0000,0.1245,0.0146,33
e801600,e,vmc,relocate_first,931184.0000,931184.0000,0.0000,0.0001,0
e801600,e,vmc,relocate_best,931184.0000,931184.0000,0.0000,0.0001,0
e801600,e,vmc,swap_first,931184.0000,928147.0000,0.3261,0.0582,79
e801600,e,vmc,swap_best,931184.0000,927969.0000,0.3453,0.1088,56
e801600,e,vmc,relocate_multiple,931184.0000,931184.0000,0.0000,0.0018,0
e801600,e,vmc,swap_multiple,931184.0000,928223.0000,0.3180,0.0396,74
e801600,e,insercion,relocate_first,1666354.0000,1666354.0000,0.0000,0.0002,0
e801600,e,insercion,relocate_best,1666354.0000,1666354.0000,0.0000,0.0001,0
e801600,e,insercion,swap_first,1666354.0000,1664429.0000,0.1155,0.0371,71
e801600,e,insercion,swap_best,1666354.0000,1664247.0000,0.1264,0.0871,43
e801600,e,insercion,relocate_multiple,1666354.0000,1666354.0000,0.0000,0.0028,0
e801600,e,insercion,swap_multiple,1666354.0000,1664442.0000,0.1147,0.0267,66
real,r,vmc,relocate_first,788.2000,788.2000,0.0000,0.0003,0
real,r,vmc,relocate_best,788.2000,788.2000,0.0000,0.0003,0
real,r,vmc,swap_first,788.2000,729.3000,7.4727,0.1207,202
real,r,vmc,swap_best,788.2000,725.1000,8.0056,0.2220,151
